Artist,Title,Found on Spotify?,Spotify URI,Corrections
"Kim Rysstad, Arve Henriksen, Tord Gustavsen",Interludium 1,Yes,spotify:track:2zA5rKMVqbm0eqbyfOk1BE,
Mark Hollis,The Colour Of Spring,Yes,spotify:track:7kYsV81UkV4z7UuF94u8T6,
Taylor Deupree,The Lost See,Yes,spotify:track:05lP7A0rKZ7O6WzziS9wt6,
John Zorn,Kisofim,Yes,spotify:track:2XwZ3p1hm8oJIVgf1kFqSR,
A Winged Victory For The Sullen,Minuet For A Cheap Piano Number Two,Yes,spotify:track:5RJP10wHcDGzUNwof9yFt1,
Anouar Brahem,C'est Ailleurs,Yes,spotify:track:7EdTMW9q9P5lCX0IsJEACZ,
Michael Grigoni & Pan•American,Omni Country,Yes,spotify:track:3DVRU02Sdbx0CFNz6HR95o,
Ólafur Arnalds,Doria,Yes,spotify:track:0Nj6qHCGFDOpqknzn5zw5A,
Rainer Ptacek,"Within You, Without You",Yes,,
Rainer Ptacek,Suck Time,Yes,,
Pan•American,Shenandoah,Yes,spotify:track:68qdrKHtFFuad8K4nCb8PC,
Marc Ribot,When The World’s On Fire,Yes,spotify:track:19LNVVoivNUTnVb7ssA7Y1,
"Michael Grigoni, Chihei Hatakeyama, Stephen Vitiello",Breeze Rises,Yes,spotify:track:67yp0KTq5qXHwaUPYlNWXN,
Loscil,Spark,Yes,,
Elon Katz & Michael Vallera,Don’t Go Outside,Yes,,
Christoph De Babalon,Wishful,Yes,spotify:track:1KhfftK9ESsG1akOQeVgxK,
"Agonis, Christina Vantzou",Neutropia (Christina Vantzou Remix),Yes,,
Hotspring,Blood,Yes,spotify:track:2z5ksxSZULvLIJsxUGWTEq,
Pan•American * Michael Grigoni,Baritone Borderlands,Yes,,
Andreas Tilliander & Goran Kajfeš,Minor Sea,Yes,,
Walt McClements,Cloud Prints (Ft. Aurora Nealand),Yes,,
Tim Hecker,Monotone 3,Yes,spotify:track:0wdoG0rwVRA2uDRDiy40EW,
Special Guest DJ,Dream,Yes,,
Terre Thaemlitz,Agnostiko Sa Dabaw [Edit],Yes,,
Civilistjävel!,XV,Yes,spotify:track:6pOKVISdvW2pQHjAsPXt7t,
Joshua Chuquimia Crampton,Unifying Force,Yes,spotify:track:3c3Fu4lrE5GiSo6K9pbZKM,
Chapterhouse,Rain,Yes,spotify:track:1bI6mfQRNMmukbhumwUCHI,
Michael Grigoni * Pan•American,"New World, Lonely Ride",Yes,,
Saapato,Everyone Passing (Feat. Gregg Kowalsky),Yes,,
Strategy,The Rabbit Hole,Yes,spotify:track:0rBSbK1QxWfA8LZnncWxVv,
Coded Forms,untitled,Yes,,
Tim Hecker,Morning (Piano Version),Yes,spotify:track:2M41g6dV9LeRQ9G9paQiBB,
A New Line (Related),Love In A Unitary Authority Part 3,Yes,spotify:track:4eCTc2sDointoMtH6OrvbA,
Raven,Gnosis Theme,Yes,spotify:track:7oLMbkdwvQ6tUo6ag56gPL,
Museum Of No Art,A Serpent Called Emit,Yes,spotify:track:6rnSHEaijuVUMQNu1O7MFU,
African-American Sound Recordings,near complete absence,Yes,spotify:track:3WatLHklFZQ9ZWy8ncwIuQ,
AMP,Starlight Veil,Yes,,
The Gabys,Ode,Yes,spotify:track:7KdGUSXQtl5xKbVpcdvyoa,
Low,Untitled,Yes,spotify:track:6ynAhSYE6h3Ey8jSTLMNWE,
Bushes,Hildegard Maxi,Yes,,
Nudge,Dayrise,Yes,spotify:track:5gVjMlWtkW4LRc6unIrqXe,
Sina,Unknown Track,Yes,,
White Flowers,Day By Day,Yes,spotify:track:18NylFENPZAvB9BkaG4gZP,
Room For Teeth,13:24,Yes,,
Justin Walter,When I Go Outside,Yes,spotify:track:6sLpioJzgFINZYEWr6czet,
"Pavel Milyakov, Lucas Dupuy",Room,Yes,spotify:track:3PHBCVQT64eyjWa75tpNOr,
Flackside,To The Earth,Yes,,
Grouper,Quiet Eyes,Yes,spotify:track:7cxSWONVoGuaEfmQgzkqsI,
"Eamon Ivri, Ioannis Nafpliotis",Flown like dust,Yes,spotify:track:30wLepvKGacHo0SRydSBAH,
"Carlos Ferreira, Warmth",Percurso (Warmth Remix),Yes,spotify:track:73XSf4MWOmrEssJl9Hd6nG,
Bowery Electric,Sounds In Motion,Yes,spotify:track:0YQGool1LGn9toWTigX9RX,
Yuta Matsumura,Red Ribbon,Yes,spotify:track:1L1oVEA86AjxVfo4McSVD1,
Collin Newman,Better Late Than Never,Yes,,
Pauline Anna Strom,Virgin Ice,Yes,spotify:track:5CmYgfxDfGjUENk5UKhktc,
Justin Walter,For Us,Yes,spotify:track:4RHqq3GqwVGj2rdvhkv10H,
Belong,A Walk,Yes,spotify:track:5klAYt4QR5puDBUm98MgTd,
Inre Kresten Grupp,Loggia,Yes,,
Bad Brains,The Regulator,Yes,spotify:track:0HX8txPQI5ni5gZ13JceRX,
Nels Cline,"Snare, Girl",Yes,spotify:track:0kCdmnRouS66n6BMABuh2k,
The Bad Plus.,Not Even Close To Far Off,Yes,spotify:track:5uCdEQk4eNerJ55VruB2OT,
Implodes,Marker,Yes,spotify:track:6Ydiz66HZ4wKtKh9rZHgpO,
Circus Lupus,Chinese Nitro,Yes,spotify:track:3ONKxMJWUA64bXXNWwl3qI,
"Damon Locks, Rob Mazurek",New Future,Yes,spotify:track:2r9zlxi2P4YyWk5EtpsWoP,
Low,Shots & Ladders,Yes,spotify:track:0zakETlvFyrQzzWzPPINrx,
Josh Johnson,All Alone,Yes,spotify:track:7cj1ybXdskYwwcsEuy2tGE,
Tomin,Love,Yes,spotify:track:6fZ3Y6iKjvnZ3QdUNoUgr9,
"Gearld Cleaver, Brandon Lopez, Hprizm",Rama,Yes,spotify:track:7ovnHTioVlLOUFGYPVZZnI,
Beings,Happy To Be,Yes,spotify:track:6yPzedodtytVyyreZmyMtC,
Crescent,Shadow,Yes,,
Lifted,Specials,Yes,spotify:track:7MotQB8tdpla1iI9EtJaXG,
Purelink,Blue,Yes,,
Movietone,The Blossom Filled Streets,Yes,spotify:track:20rZm9NE267UVoQ9jShbWj,
"Oren Ambarchi, Johan Berthling, Andreas Werliin",Tre,Yes,spotify:track:1PpQDHumXb9egC3xOa75ln,
"Rob Mazurek, Exploding Star Orchestra",White River,Yes,spotify:track:3Sp9qFh7hdpOnD3T1gsevb,
Pan American,Swimming In A Western Hotel,Yes,spotify:track:1ATXbroEubTRLUdwtFLgX9,
Zero Key,01,Yes,,
Ekin Fil,Being Held (Jefre Cantu-Ledesma Rework),Yes,spotify:track:1AaXpfIM8weJtiAQvmwq3J,
X.Y.R.,Wind Chimes Voices,Yes,spotify:track:6zi0vZI44zWvEmkL8VuAYY,
Earthen Sea,White Sky,Yes,spotify:track:2mdC0lyy0kVn5D1s7U0vGu,
Lifted,The Latecomer,Yes,spotify:track:7GbaPHGgx1FixNAAQdpa6W,
Keith Fullerton Whitman,021112-2,Yes,,
Windy & Carl,Forever & The Silent Ocean,Yes,spotify:track:7jjB4qTmda5gjMtkQvZnvl,
Samuel Reinhard,No. 1,Yes,spotify:track:3WopeiW7fKzRZmxDgBfh73,
Clinic Stars,Thoughtless,Yes,spotify:track:65ini79W6hCwhR6AfbPZLD,
Discount Heaven House Band,Elegy,Yes,,
Malibu,Nana (Like A Star Made For Me) ,Yes,spotify:track:6kMxzocRugxiovCq4GtmtY,
Disco Inferno,Waking Up,Yes,spotify:track:3MqhaUnFmuxmzIHIlmpoEg,
David Sylvian,Where The Railroad Meets The Sea,Yes,spotify:track:10MKn9r8PJXHkFNsiVdNaW,
Bourbonese Qualk,Outcry,Yes,spotify:track:2vQEjfb2h30ucQH52SLwfs,
Enno Velthuys,Germinating,Yes,,
Demen,Mea,Yes,spotify:track:2pQ4NQxVhFgGjEfkO3Rv0A,
Rothko,Herbivore,Yes,spotify:track:5MHgnlubRHO2TVxH3cYnjz,
"Pieter Nooten, Michael Brook",Equal Ways,Yes,spotify:track:7yy5R9Mjp2Y2f0fzRBz8ky,
Tim Story & HJ Roedelius,Clue,Yes,spotify:track:1GHPliCL4CMWUVt9FobGwz,
Saffron,Vision Is A Lonely Word,Yes,,
