Artist,Title,Found on Spotify?,Spotify URI,Corrections
Romance,Bring My Baby Back (Again),Yes,spotify:track:12OieLzHAg2PvZGDMYnXXQ,
Spivak,Laura,Yes,spotify:track:5fFj9NjOHnmPmJzNOvZIwX,
Placid Angles,1700,Yes,spotify:track:5PIViBtormI3nJX0Gwl7iI,
"Rainy Miller, Space Afrika",Let It Die,Yes,spotify:track:1gij162RBHJfyFpOn8Gojo,
Romance,Crying Is The Only Thing That Gets Me Through,Yes,spotify:track:2EKNKtpHBIl5RxpbQUvOdh,
Lena South,"Lights Are Pulsing, Soft And Slow (Unreleased) + Addison Rae",Yes,,
"Hoodie, James K",Ether,Yes,spotify:track:4xMXnl2TVCTrYNcwAj5lmi,
"Fred again.., Brian Eno",Enough,Yes,spotify:track:2qMLbeUM1IunPifKpvzqDx,
Laurel Halo,Earthbound,Yes,spotify:track:1fHKFd4NtNjDwr256htMZY,
Eartheater,Metallic Taste of Patience (La Petite Mort Edit),Yes,spotify:track:2jlRO5NJ2VTcGjkBS2Ct2J,
Spivak,Alpha Centauri Blessings,Yes,spotify:track:2rBZAUkplqLti9ugnp9Fux,
Aphex Twin,#21,Yes,spotify:track:56wLenDrpunq4jPiMMissg,
Esile & Maï,Hug (Unreleased),Yes,,
Merely + Malibu,Unknown Track,Yes,,
Whitesnake,Is This Love,Yes,spotify:track:2HboGOZ0nzLGa7Aqzglszz,
2814,恢复,Yes,,
Pascal F.E.O.S.,Supernatural,Yes,,
Malibu,Unknown Track,Yes,,
"James Newton Howard, Dean Parks, David Grisman, Michael Fisher, Jay Rosen",Dani Remembers,Yes,,
Evian Christ,On Embers,Yes,spotify:track:3O9UP8z2u9akb3VGMV8SEE,
"Seth Hills, Lauren Nicole",On & On (Extended Mix),Yes,spotify:track:7cCRHBrzpsI4wDCNjYxplm,
Barker,The Remembering Self,Yes,spotify:track:5KfpuSlyjWMPMNE0eN75Vk,
Malibu,Unknown Track,Yes,,
Sora,A Caminho Do Mar,Yes,spotify:track:61EBFsWDMIY1aCNPfNC0XH,
Lee Hazlewood,Your Sweet Love,Yes,spotify:track:6DVyQl6VTvbqNQ0WU7gXIR,
Boards Of Canada,Trails,Yes,,
Susumu Yokota,Long Long Silk Bridge,Yes,spotify:track:1V5Dp4puHLcNQqwPjnldNE,
Federico Durand,Kim,Yes,,
Nelly Furtado,All Good Things (Come To An End),Yes,spotify:track:6kEpjptnAwt11Atr4cEMe1,
Disco Inferno,Love Stepping Out,Yes,spotify:track:1dRSgHJL6UpIFo73jhWIF9,
FilFla,Dx (Distance),Yes,spotify:track:06VMsci3j6KHFNwtBOBgpU,
Delia Derbyshire Appreciation Society,She Brought the Sun,Yes,spotify:track:67vq69jbaW59al1KYGExw5,
Air Supply,Lost In Love,Yes,spotify:track:6MfVSA5iKBPHzo6RGARjL0,
To Rococo Rot,Die Dinge Des Lebens,Yes,spotify:track:0mZpVZRhcTWJXa6TQQPjNV,
Gabriel Yared,Un couché de soleil accroché par les arbres,Yes,spotify:track:4ftmAcgZRmcSGTlnVNOEw7,
Stevie Wonder,Spain,Yes,,
"Frank Harris, Maria Marquez",Loveroom,Yes,spotify:track:7eExurcCAVtppDlridCVm7,
Little Dragon,Twice,Yes,spotify:track:49Su9fsYwmnnuJSyxj48kL,
Kid Spatula,Qisope,Yes,spotify:track:58oalg6VlHdFLGWJo7axMX,
Entente,Blank Body,Yes,,
Maxime Den,Infinite End,Yes,spotify:track:1xkYnVp4lmP9r1W1DVd6Pd,
