Artist,Title,Found on Spotify?,Spotify URI,Corrections
Javier Solís,Vereda Tropical,Yes,spotify:track:6RAQgyHLunddvB5WvRB9OR,
Beny Moré,Mucho Corazón ,Yes,spotify:track:69k8YXi3v0uGbNbolEkFaP,
Chayito Morales,Brisa Del Mar,Yes,,
Los Tres Diamantes,Usted,Yes,spotify:track:20NBwMxhtHrNgnWFIlNeP4,
"Hermanas Águila, Antonio Bribiesca",Rayando El Sol,Yes,spotify:track:0vbTSruZjJ7ypw0mbqwQ8J,
"Alberto Beltrán, Conjunto Casino",Todo Me Gusta De Ti,Yes,spotify:track:3HWmuwLy8R9aZJUqAJxB5o,
Los Relampagos Del Norte,Mi Tesoro ,Yes,spotify:track:57rH2ju0NCA5K1m4GxmIfU,
Irene Rivas,Tonto,Yes,spotify:track:3W5WbMznWp3NXosnNc8Js9,
"Roberto Jordan, Los Zignos",Házme Una Señal,Yes,spotify:track:6meEePi0PVOLHyQzkocAFP,
Los Moonlights,Si Te Doy Mi Corazon,Yes,,
Los Tres Caballeros,Noche No Te Vayas,Yes,spotify:track:5PG0KLm66uabwKFWSGNe5U,
Los Tres Diamantes,La Gloria Eres Tú,Yes,spotify:track:79BOX5jI2CAhA8d7GD7FGY,
Julio Jaramillo,Te Esperare,Yes,spotify:track:4ketRRUbkjzSFoKLDR66Da,
"Bienvenido Granda, La Sonora Matancera",La Diosa De La Rumba,Yes,spotify:track:5WglGnDF6T6gGyFKPXsLR0,
Pedro Beltran X Exito Sonido La Conga,Mi Linda Gaita,Yes,,
Los Pancho,Corazon De Melon,Yes,spotify:track:7HSYmqzZHulD6UnvPHDJEt,
Los Panchos Y Eydi Gorme,Fuego Bajo Tu Piel,Yes,,
Chabela Vargas,Mi Segundo Amor,Yes,spotify:track:4pzkwcegGvtURxnXfWsrQA,
"Rita Montaner En  ""Víctimas Del Pecado""",Ay José,Yes,,
"La Sonora Matancera, Bienvenido Granda",Pugilato,Yes,spotify:track:2GRycr94KfU5vUhJ3cb08E,
Unknown Artist,Cumbia Y Piano,Yes,,
Trio La Rosa,El Que No Sabe,Yes,spotify:track:3t2VFBpmsEZqyIxNyTPkOI,
Lizandro Meza,La Cumbia Del Amor,Yes,spotify:track:4XooC97FPUPum96xfCiA7f,
Unknown Artist,Cumbia Santo Domingo Con Flautas Y Tambores Limpia,Yes,,
Piano Negro,La Danza De La Tanga,Yes,spotify:track:6GPwOAewMAumA6by2K9Fnh,
Los Rivales,Muñeca Esquiva,Yes,,
Tropical Music,La Cumbia Mi Kiki (Limpia),Yes,,
"Darigil, El Conj. Miramar, Conj. Miramar",Pregonando,Yes,spotify:track:59tKUQ0EbBQXk7BWEz0FMg,
Éxito Sonido Fascinación,La Luna Y Mi Amor,Yes,,
Pedro Beltran,Lucy Abuchaibe,Yes,spotify:track:0gPEDUqdwcMsCPp1oJTqqC,
Sonido Barrioantillano,CUMBIA Y ARPA,Yes,,
Rodolfo Y Su Tipica,Plegaria,Yes,spotify:track:5LJFeFKdGhu2tyJ0jptMMf,
Los Falcons,Cumbia De Sal,Yes,spotify:track:0ite6lUisltJPhlEMDxlNM,
Estrellas Andinas,Vuelve,Yes,,
LOS CORRALEROS DE CALI,CUMBIA  ELOISA (NO QUIERO VERTE LLORANDO),Yes,,
Grupo Ju-Juy,Cumbia Con Arpa,Yes,spotify:track:6FBiThCRG0QiiLdiawUStX,
Grupo Super T,La 3a. de Las Bandas,Yes,spotify:track:0vENbkuZPnNdmdyPA2rXkU,
Hermanas Águila,Siempre Viva,Yes,,
Toña La Negra,Ven Acá,Yes,spotify:track:1QN1h9hmAu4tgLn7PzbwxZ,
Lola Beltran (Live From Bellas Artes Palace In Mexico City),Cenizas,Yes,,
