Artist,Title,Found on Spotify?,Spotify URI,Corrections
Anonymous 16c (Lorenzo Ghielmi),Upon La Mi Re,Yes,,
Papung Supena & Tahya,"Pangapungan, Pamapag Ibu, Badud Rengkong",Yes,spotify:track:6K0UWHagWlgE1BESKVwejR,
Kali Malone & Stephen O’Malley,La Tour-De-Peilz (Field Recording For Dumb Type + Ryuichi Sakamoto),Yes,,
Laurence Crane (Ft. Asmamisimasa),Events P. 3,Yes,,
Musicians Of Kraton Surakarta,Munggang,Yes,spotify:track:4KvKKk0zM4iOzXE1Dmhx8p,
Ellen Arkbro,Untitled Rain,Yes,spotify:track:2eDwutWrC39psisnj3EhQS,
Arvo Pärt (Lorenzo Ghielmi),Trivium,Yes,spotify:track:2xpRqznBR6ygce02Y15BHw,
Dewa Alit,Ameriki,Yes,,
Laurie Spiegel,Drums,Yes,spotify:track:7sagDXY3Pdl5A5EPUgimZn,
Baras,Atragnatra : Kilangay,Yes,spotify:track:0BqzEbLedaPJ1B5GcS1kYR,
James Rushford,Quire X,Yes,spotify:track:1U221Gyptj2j3PagU3JJWy,
Fredrik Rasten,Lineament II,Yes,spotify:track:2o0yrxFORN0RJhG7bn9oRz,
The Drinking Boy,Chris Watson,Yes,,
"Jessika Kenney, Eyvind Kang",No Sound,Yes,spotify:track:6zG2fsGfwY6ptgvIQBB0uz,
Kali Malone,No Sun To Burn (For Brass),Yes,spotify:track:537mVBuMmwMGk29mXYnYlD,
Leo Svirsky,Fanfare (After Jeromos Kamphuis),Yes,spotify:track:7kh9NhRjvXgH9JD74z0hIR,
Arthur Russel,Fuzzbuster #10,Yes,spotify:track:79dgxMzQIw025bL8tx6y4H,
Pak Supria & Pak Amat,Java: Tarawangsa (Extract),Yes,spotify:track:0JOeVjuucDxFX5p2SzpuB4,
"Stephen O'Malley, Anthony Pateras",Déjà Voulu,Yes,spotify:track:3vo8npIrblpx4Zu8yv7tpt,
Zedashe Ensemble,Irinola,Yes,,
"Ensemble Mzetamze, მზეთამზე","Zhuzhuna, Circle Dance Song, Rach'a ",Yes,,
Vilhelm Bromander,Knowledge Of Everlasting Things,Yes,spotify:track:4btsyU7O1P3qNdOOqVPpuN,
Lela Tataraidze,Nana,Yes,spotify:track:0YuuLR8OOqNd7HYym4hwbu,
William Basinski,The Wheel Of Fortune,Yes,spotify:track:4l49My1N2ZoaEkOgYBRfH0,
"Ellen Arkbro, Johan Graden",Temple,Yes,spotify:track:2nxxjORNBrmHx7QkFQ4zod,
Sosena Gebre Eyesus,Aser Awetar (Instrument Of Ten Strings),Yes,,
Kassel Jaeger,Allée des Brouillards,Yes,spotify:track:7cA2Qh10Eps8P6Wz5ocMER,
Evelyne Daoud,Syria: Akh Tagorye H'achirye (Extract),Yes,spotify:track:3KeWrFPMPByxWBCBQ6LEi9,
Kali Malone,Passage Through The Spheres,Yes,spotify:track:4hcZPZEIMpIdfgEvZ2ULaQ,
Ensemble Belladonna,Worldes Blis Ne Last No Throwe,Yes,spotify:track:4wCcqnvftbBsgmctDgAtyv,
Matsuo Keiko & Ueno Kazuko,"Koto Duet ""Godan-Kinuta""",Yes,spotify:track:2sUXqlp9Ozwa6v9l0u1EIa,
Kaladar Rahmatbekov (Khârog),"Monâjât, Maqâm-I Setâyesh, Falak ""Khod Sefid"", Lala'ik, Dardilik",Yes,spotify:track:0wF5OvV8FoKiAwdHaLYlqm,
Kamilya Jubran,Kulla-Nafsi,Yes,,
Lucy Railton,Suzy In Spectrum,Yes,spotify:track:0xCL4gVlpSbw4gj8M46k4T,
"Laurence Crane, Michael Finnissy",Three Preludes,Yes,,
Korean National Music Institute,Nok-Um Bang-Cho,Yes,,
Youmna Saba,Ahad أحد,Yes,,
