Artist,Title,Found on Spotify?,Spotify URI,Corrections
Three Blind Mice,Triad,Yes,,
"Jody Stecher, Krishna Bhatt",The Jelebi Song,Yes,spotify:track:5ZUTi3SWTZTJoDBHgk6Vjo,
Pierre Dørge & New Jungle Orchestra,Bali Sinar Bulan,Yes,,
Loverly,Makam,Yes,,
Visions,Spirit,Yes,,
Wendy Erdman,Help Me Sing The Sun Down,Yes,spotify:track:0TTw2TpgJBK1oSvt61uXkX,
Mike T. & Brickbats,Johnny There,Yes,,
Eric Loy,Serving Christ My Lord With Gladness,Yes,,
Friends Of The Family,Blue Boats Make Me Sad,Yes,,
Picture,Crazy Child,Yes,,
The Beyond,My Father's Name Was Dad,Yes,,
Public Nuisance,Gotta Survive,Yes,spotify:track:7EOaznozh42jJRjpT0Okgi,
Tony Kosinec,Me And My Friends,Yes,spotify:track:13oQL0Og6VDMO1LD9CXiC5,
Dave Paskett,Johnny Went To London,Yes,,
Pierre Dørge & New Jungle Orchestra,Largo Lapidarius,Yes,,
David H. Lee,My Two Sons,Yes,,
"Pablo Neruda, Anne Et Gilles, Claire Viala",Un Jour Voyageur,Yes,,
Two Times Two,Snow Frolic,Yes,,
Richard Greene,Blue Rondo A La Turk,Yes,spotify:track:0a02iwhl7Hjyh9QnadkDw9,
Litto Nebbia,Manías De Graciela,Yes,spotify:track:0lEqAIZGgIveIqAaaG9jc7,
Guido Carrea,Heard You Say,Yes,,
Twice As Nice,Have You Been A Long Way,Yes,spotify:track:1x66X65UPcTWwkHjP6efv8,
Barbary Coast,Hearts On Fire (Rock Mix),Yes,,
Jumpleads,"The Little ""Fighting Chance""",Yes,,
Peter Poets,A Song For The Animals,Yes,,
Bola Sete,Vira Mundo Penba (Braz. Folk Song),Yes,spotify:track:0z0pc0PcdP76BNXvObiFha,
Malcolm Price,Black Snake Moan,Yes,spotify:track:0SvxpCwucVnM0r3BbJx3aq,
Madeley Court School,Vincent,Yes,,
Gary Foster,Elegy,Yes,,
Spindrift,Mountain,Yes,,
Bob Rich,Christmas In My Pants,Yes,,
Gary Shearston,Tell Old Bill,Yes,spotify:track:2YDJnIalMiwq2JFHP4yFuP,
Dead Sea Surfers,Lazarus,Yes,spotify:track:7dEwDQVznhTOpuwIfeQsc2,
Nork Park School,Mars & Mercury,Yes,,
The British Saxophone Quartet,Gymnopedie 1,Yes,,
Xavier Huguet,Le Jour Se Léve,Yes,,
Xavier Huguet,Forgotten And Unlooked Song,Yes,,
Malcolm Hansson,In The Traumadrome,Yes,,
Obnoxious Tartus,Obnoxious Tartus,Yes,,
Therapy,Thunder And Lightning,Yes,,
Richard Ace,Up Where We Belong,Yes,spotify:track:68mfP9pLdOQaXW6BMWfqEa,
Wounded John Scott Cree,Henry My Boy,Yes,,
Brian Dewhurst,Silver Coin,Yes,,
Nork Park School,The Sun Is Burning / Last Night (Reprise),Yes,,
Ivor Aylesbury,May You Never,Yes,,
Princess Snowdrop,What A Wondrous World We Live In,Yes,,
The New Dimension,Morning Dew,Yes,,
West,Dophins,Yes,,
