Artist,Title,Found on Spotify?,Spotify URI,Corrections
Three Blind Mice,Triad,Unknown,,
"Jody Stecher, Krishna Bhatt",The Jelebi Song,Unknown,,
Pierre Dørge & New Jungle Orchestra,Bali Sinar Bulan,Unknown,,
Loverly,Makam,Unknown,,
Visions,Spirit,Unknown,,
Wendy Erdman,Help Me Sing The Sun Down,Unknown,,
Mike T. & Brickbats,Johnny There,Unknown,,
Eric Loy,Serving Christ My Lord With Gladness,Unknown,,
Friends Of The Family,Blue Boats Make Me Sad,Unknown,,
Picture,Crazy Child,Unknown,,
The Beyond,My Father's Name Was Dad,Unknown,,
Public Nuisance,Gotta Survive,Unknown,,
Tony Kosinec,Me And My Friends,Unknown,,
Dave Paskett,Johnny Went To London,Unknown,,
Pierre Dørge & New Jungle Orchestra,Largo Lapidarius,Unknown,,
David H. Lee,My Two Sons,Unknown,,
"Pablo Neruda, Anne Et Gilles, Claire Viala",Un Jour Voyageur,Unknown,,
Two Times Two,Snow Frolic,Unknown,,
Richard Greene,Blue Rondo A La Turk,Unknown,,
Litto Nebbia,Manías De Graciela,Unknown,,
Guido Carrea,Heard You Say,Unknown,,
Twice As Nice,Have You Been A Long Way,Unknown,,
Barbary Coast,Hearts On Fire (Rock Mix),Unknown,,
Jumpleads,"The Little ""Fighting Chance""",Unknown,,
Peter Poets,A Song For The Animals,Unknown,,
Bola Sete,Vira Mundo Penba (Braz. Folk Song),Unknown,,
Malcolm Price,Black Snake Moan,Unknown,,
Madeley Court School,Vincent,Unknown,,
Gary Foster,Elegy,Unknown,,
Spindrift,Mountain,Unknown,,
Bob Rich,Christmas In My Pants,Unknown,,
Gary Shearston,Tell Old Bill,Unknown,,
Dead Sea Surfers,Lazarus,Unknown,,
Nork Park School,Mars & Mercury,Unknown,,
The British Saxophone Quartet,Gymnopedie 1,Unknown,,
Xavier Huguet,Le Jour Se Léve,Unknown,,
Xavier Huguet,Forgotten And Unlooked Song,Unknown,,
Malcolm Hansson,In The Traumadrome,Unknown,,
Obnoxious Tartus,Obnoxious Tartus,Unknown,,
Therapy,Thunder And Lightning,Unknown,,
Richard Ace,Up Where We Belong,Unknown,,
Wounded John Scott Cree,Henry My Boy,Unknown,,
Brian Dewhurst,Silver Coin,Unknown,,
Nork Park School,The Sun Is Burning / Last Night (Reprise),Unknown,,
Ivor Aylesbury,May You Never,Unknown,,
Princess Snowdrop,What A Wondrous World We Live In,Unknown,,
The New Dimension,Morning Dew,Unknown,,
West,Dophins,Unknown,,
Gary Shearston,Dirty Old Town,Unknown,,
Therapy,Take The Money,Unknown,,
Paget King,Rainy Night in London ,Unknown,,
Theresa Palmer,Rainy Night In Georgia,Unknown,,
Mickey Zipp,Mickey Zipp Flie's,Unknown,,
Zanti Misfitz,Hurts Me,Unknown,,
Shiver,Lady Blue,Unknown,,
Joan Wildman Trio,Disintegration (Of A Pitch),Unknown,,
Ridgewaye School,While Children Sleep,Unknown,,
Hedingham School,A Serenade,Unknown,,
Rick Wooley,Bohio,Unknown,,
Xavier Huguet,Rémission,Unknown,,
Malcolm Hansson,The Last Goodbye,Unknown,,
Birmingham,Fire And Rain,Unknown,,
Tide,You’re Not The Only One,Unknown,,
Derek Brimstone,Rainful Days,Unknown,,
Dargo,The Dream,Unknown,,
Jaffray School,It’s Late Thought Alice,Unknown,,
Belfast Gypsies,The Last Will And Testament,Unknown,,
Sid Selvidge,I’ve Got A Secret,Unknown,,
Randy Loyd,June Marie,Unknown,,
Middle Earth,Rushing To The Earth,Unknown,,
Ken McIntyre,Open Horizon,Unknown,,
Swami Kriya Ramananda,City Indigo,Unknown,,
The New You,Hunter,Unknown,,
Kill Your Sons,Obsession,Unknown,,
Good Morning,Country-Reg,Unknown,,
Village Jazz,In Merlin’s Cave,Unknown,,
John The Fish,Slow Down To My Speed,Unknown,,
Frank Adams,Long Distance Line,Unknown,,
Cozens & Croft,Cry Your Tears On Me,Unknown,,
Ben Watt,On Box Hill,Unknown,,
Deep End,I Shall Be Released,Unknown,,
Les Baxter With His Chorus And Orchestra,The Gates Of Annam,Unknown,,
Jordi Sabates,Joeta,Unknown,,
Everyone Involved,A Gay Song,Unknown,,
Shusha,Water Song,Unknown,,
Tablatura,Hymn/Anon/12th Century,Unknown,,
It's A Crying Time,End Of Memory Lane,Unknown,,
Lazy Farmer,When I Leave Berlin,Unknown,,
Malcolm Price,State Of Arkansas,Unknown,,
Symphonia Of Guitars,"The Good, The Bad, And The Ugly",Unknown,,
Rod King,If,Unknown,,
The Stan Tomato Band,InterCity 125,Unknown,,
Fiddler’s Dram,Agony,Unknown,,
The Amazing Snail Brothers,Later Tonight,Unknown,,
Delta McCloud,I Feel Like An Aardvark Going On Holiday,Unknown,,
Mammy Rose,マミローズ,Unknown,,
Ova,Auto Erotic Blues,Unknown,,
Peter Kelley,Dealin' Blues,Unknown,,
"Pearls Before Swine, Tom Rapp",The Jeweller,Unknown,,
"Thos. Rapp, Pearls Before Swine",Did You Dream Of,Unknown,,
"Tom Rapp, Pearls Before Swine",A Life,Unknown,,
Herman van Veen,Waar Ben Je Morgen,Unknown,,
Tom Rapp,Stardancer,Unknown,,
Pearls Before Swine,Ring Thing,Unknown,,
Pearls Before Swine,Sail Away,Unknown,,
Pearls Before Swine,Wizard Of Is,Unknown,,
Pearls Before Swine,I Shall Be Released,Unknown,,
Pearls Before Swine,Playmate,Unknown,,
Pearls Before Swine,Look Into Her Eyes,Unknown,,
Tom Rapp,Marshall,Unknown,,
Armand,Rue De La Paix,Unknown,,
"Tom Rapp, Pearls Before Swine",Come To Me,Unknown,,
"Tom Rapp, Pearls Before Swine",Snow Queen,Unknown,,
Psychic TV,Translucent Carriages,Unknown,,
This Mortal Coil,The Jeweller,Unknown,,
Pearls Before Swine,Going To The City,Unknown,,
Pearls Before Swine,There's No Other (Like My Baby),Unknown,,
Louis Sclavis,Mariage,Unknown,,
Concert Dans L’œuf,Ben Sab’a,Unknown,,
"The Judge's Nephews, Los Sobrinos Del Juez",Glorioso San Antonio,Unknown,,
"Four Singers, The Night Fevers, Akira Miyazawa",Historia De Un Amor,Unknown,,
The Raspberries,Hands On You,Unknown,,
Gandalf,Smokey Topaz (Demo),Unknown,,
Chris Simpson,Magnolia,Unknown,,
Warren James & Friends,Gymnopedies No. 2,Unknown,,
Derek Brimstone,Icarus,Unknown,,
Sylvia Moore,Your Meaning Is Clear,Unknown,,
The Soap Bubbles,3 Mile Rain,Unknown,,
The Contents Are,In Trouble,Unknown,,
Complex,Am I,Unknown,,
World Of Oz,LIke A Tear ,Unknown,,
Moonkyte,Way Out Hermit,Unknown,,
S.T. Mikael,The Serpent,Unknown,,
Enrico Marcandalli,Isola Verde,Unknown,,
"Vincent Le Masne, Bertrand Porquet",Labyrinthe,Unknown,,
Dave Maddison,Largo For Whales,Unknown,,
"Gereon Piller, Gerhard Krause",Sphinx,Unknown,,
John Lawson,Requiem To Mississippi John Hurt,Unknown,,
Roberto Menabo,Salter’s Hotel,Unknown,,
Werner Prassl,Richland Woman Blues,Unknown,,
Al Cook,Georgia Blues,Unknown,,
Giovanni Unterberger,Fireman Joe'S Breathless Day,Unknown,,
Andy Bole,Blackwater / Silver Sea,Unknown,,
Maurizio Angeletti,The Pearl At The Bottom Of The Ocean,Unknown,,
Normal Teeling,Dimensions,Unknown,,
Giovanni Palombo,Pesco Fuor D’Acqua,Unknown,,
Echo Mountain Band,Cold Rain & Snow,Unknown,,
Rod King,South Seas '74,Unknown,,
I.C.F. Crew,Fresh Hip Hop,Unknown,,
Mud Hutters,Neolithic Dub,Unknown,,
Sue Downer & Arthur Hendrie,Images Of Summer,Unknown,,
Dave & Jan,Hands,Unknown,,
Shusha,No Expectations,Unknown,,
Dove,Lovely Day,Unknown,,
Best Of Friends,Fennario,Unknown,,
Tom Smith,Quidate Quierda,Unknown,,
Malcolm Smith,State Of Arkansas,Unknown,,
