Artist,Title,Found on Spotify?,Spotify URI,Corrections
Javier Solís,Vereda Tropical,Unknown,,
Beny Moré,Mucho Corazón ,Unknown,,
Chayito Morales,Brisa Del Mar,Unknown,,
Los Tres Diamantes,Usted,Unknown,,
"Hermanas Águila, Antonio Bribiesca",Rayando El Sol,Unknown,,
"Alberto Beltrán, Conjunto Casino",Todo Me Gusta De Ti,Unknown,,
Los Relampagos Del Norte,Mi Tesoro ,Unknown,,
Irene Rivas,Tonto,Unknown,,
"Roberto Jordan, Los Zignos",Házme Una Señal,Unknown,,
Los Moonlights,Si Te Doy Mi Corazon,Unknown,,
Los Tres Caballeros,Noche No Te Vayas,Unknown,,
Los Tres Diamantes,La Gloria Eres Tú,Unknown,,
Julio Jaramillo,Te Esperare,Unknown,,
"Bienvenido Granda, La Sonora Matancera",La Diosa De La Rumba,Unknown,,
Pedro Beltran X Exito Sonido La Conga,Mi Linda Gaita,Unknown,,
Los Pancho,Corazon De Melon,Unknown,,
Los Panchos Y Eydi Gorme,Fuego Bajo Tu Piel,Unknown,,
Chabela Vargas,Mi Segundo Amor,Unknown,,
"Rita Montaner En  ""Víctimas Del Pecado""",Ay José,Unknown,,
"La Sonora Matancera, Bienvenido Granda",Pugilato,Unknown,,
Unknown Artist,Cumbia Y Piano,Unknown,,
Trio La Rosa,El Que No Sabe,Unknown,,
Lizandro Meza,La Cumbia Del Amor,Unknown,,
Unknown Artist,Cumbia Santo Domingo Con Flautas Y Tambores Limpia,Unknown,,
Piano Negro,La Danza De La Tanga,Unknown,,
Los Rivales,Muñeca Esquiva,Unknown,,
Tropical Music,La Cumbia Mi Kiki (Limpia),Unknown,,
"Darigil, El Conj. Miramar, Conj. Miramar",Pregonando,Unknown,,
Éxito Sonido Fascinación,La Luna Y Mi Amor,Unknown,,
Pedro Beltran,Lucy Abuchaibe,Unknown,,
Sonido Barrioantillano,CUMBIA Y ARPA,Unknown,,
Rodolfo Y Su Tipica,Plegaria,Unknown,,
Los Falcons,Cumbia De Sal,Unknown,,
Estrellas Andinas,Vuelve,Unknown,,
LOS CORRALEROS DE CALI,CUMBIA  ELOISA (NO QUIERO VERTE LLORANDO),Unknown,,
Grupo Ju-Juy,Cumbia Con Arpa,Unknown,,
Grupo Super T,La 3a. de Las Bandas,Unknown,,
Hermanas Águila,Siempre Viva,Unknown,,
Toña La Negra,Ven Acá,Unknown,,
Lola Beltran (Live From Bellas Artes Palace In Mexico City),Cenizas,Unknown,,
José Alfredo Jiménez,Si Nos Dejan,Unknown,,
Caney Jimenez,Perfume De Gardenias,Unknown,,
Toña La Negra,Veracruz,Unknown,,
Wara´S,Negra Soy Instrumental,Unknown,,
Maria Alba,Negra Soy,Unknown,,
La Cumbia Moderna De Soledad,¿Crees Que Soy Sexy?,Unknown,,
El Combo Candela,El Carbonero ,Unknown,,
Contacto Sonidero (Se Puede Acortar 2:12 Para Meter Ámame),Bonita,Unknown,,
Grupo Saya,Amor Vuelve,Unknown,,
Los Llayras,Amame,Unknown,,
Polibio Mayorga,⁠Jilguerito Alegre (Sonido Fantasma),Unknown,,
Llamadores de Cartagena,Sonaja y Tambor,Unknown,,
