Artist,Title,Found on Spotify?,Spotify URI,Corrections
"Beele, Ozuna",Frente Al Mar (Ozuna Remix),Yes,spotify:track:1gFri8sTiJFOBK8tlLck43,
"W Sound, Beele, Ovy On The Drums",La Plena (W Sound 05),Yes,spotify:track:6xOEgzkMSZJKz6qtCJsQL5,
"El Malilla, Joss ML, Omarcito Glock, Zalo La Z, Enayy",XQTCE?,Yes,spotify:track:3Snm7CC9FhqAOeGa3RuFNN,
Suthun Boy,I Ain’t Him,Yes,spotify:track:3bhKpoGDXP5oVtO7xkktZA,
Rema,Baby (Is it a Crime),Yes,spotify:track:6NOrpcicPUh2eaj8bAD44u,
Aya Nakamura,Chimiyé,Yes,spotify:track:6xaoSNgphFog6VMIqGteYZ,
"Jonn Hart, EricStatz, The Outfit",Like My Bass,Yes,spotify:track:6v7EZ9XPkZB5WzYQsI3x1a,
"8RO8, Franskiiz, lelz",Counting On You (Sped Up),Yes,spotify:track:536jI22bWnUmtDdJft15oA,
Woza Logan,Love,Yes,,
Fransheska,Menealo,Yes,spotify:track:1rIm4L36RX8Kt33BhnPrNG,
Kings Of Tomorrow,Finally,Yes,spotify:track:1BeZ3neH8aQioMKccVHdS9,
Lady Gaga,Zombieboy,Yes,spotify:track:0ElVpg9XIswx3XWs6kUj6a,
Dei V,Sirena,Yes,spotify:track:0EYoG9Z0q0C0K1MCs1hQQl,
Jennifer Paige,Crush,Yes,spotify:track:6YXWauQKn5nQVhcC4KVplQ,
"DJ Laz, Casely, Flo Rida",Move Shake Drop (Remix),Yes,spotify:track:1BlmLXZiECobtN8SI8vb3L,
Proyecto Uno,Esta Pega'o,Yes,spotify:track:7f698P4uIhoNM4E3XkgvL3,
Ynfynyt Scroll,So Danca,Yes,spotify:track:4J6yX4hZ2SIlvks9Bc0wV8,
SoFTT,"Linda, Trieste, Una Popstar",Yes,,
Ashya,Go Back,Yes,spotify:track:0GgIUpL5spOhXcGMOhbLpL,
Angie Stone,No More Rain (In This Cloud),Yes,spotify:track:6mZI2vbLv1UvlclwDQ4uvc,
"La T y La M, Malandro",Amor de Vago,Yes,spotify:track:5MKbWaXeSQSmzmo7gPQha1,
Lionel Richie,Love Will Find A Way,Yes,spotify:track:5wEzDRitKXlJVaJaeyaLzB,
Michael Ray,Whiskey And Rain,Yes,spotify:track:1tf4Bfk8JIKryLpWYRvyiI,
Zach Top,I Never Lie,Yes,spotify:track:3t6gUcGYLrUuqwpXjOFWQc,
Young & Rollins,Spanish Nights,Yes,spotify:track:65XPPR5GGETPXqwMIBRB1b,
Bad Bunny,DTMF,Yes,spotify:track:3sK8wGT43QFpWrvNQsrQya,
Bad Bunny,Nuevayol,Yes,spotify:track:5TFD2bmFKGhoCRbX61nXY5,
Chuwi F. Mobu,Mundi (120),Yes,,
"Alleh, Yorghaki",capaz (merengueton),Yes,spotify:track:3QbfCvCAOCrSGNcGjtOjYM,
"Pedro Sampaio, Mc Gw, MC Debby, Mc Taliba",SEQUENCiA STRIPTEASE,Yes,spotify:track:7xeqjq45imp3qonWKqfyip,
"Yailin La Mas Viral, Puyalo Pantera",Bing Bong,Yes,spotify:track:6s9PpYbExKlHuJ8JMyep21,
Tayhana,Eterna Migración,Yes,spotify:track:6pgJEXQFcmEHWTVKAd2aQ7,
T-Ansyto,2 Gouden,Yes,spotify:track:2VcVmSWadOf4SMGBB2abov,
The Teenagers,Homecoming,Yes,spotify:track:1B516F0EkWq9uBuGzlEbZs,
Dondria,You're The One (Instrumental),Yes,,
"Kevin Momo, Sino Msolo, Stixx, Mashudu",Waze Wamuhle F. Mashudu,Yes,spotify:track:2xXwT5A5sbPXJLtXasPSIY,
Solo B,All In (Sped Up Version),Yes,spotify:track:4ATQjrbHaC3UCJ4fWgkRak,
"Dj Nelson, Daddy Yankee",Tú No Tienes Miedo,Yes,spotify:track:5Myl16sTzmK9yQNd8Aczhy,
Bubba Sparxxx,Wonderful,Yes,spotify:track:58oxf7EkyLxN2canL6YF7N,
Capolow,Drop That Bag,Yes,spotify:track:5wqXrc9w4kgrN4vBfqgxch,
Joé Dwét Filét,4 Kampé,Yes,spotify:track:7dzuYJwwtNnfcptmbD58aJ,
Ir-Sais,Dream Girl,Yes,spotify:track:2Sla5cgNpVoRcckYjaAMKP,
BABYWINE,12:12,Yes,spotify:track:2noQzFE1uwVzuNgHcxAgDF,
Dem Franchize Bwoyz: White Tee,Dj Weeding Reggae Remix,Yes,,
G3 GELO,Tweaker,Yes,spotify:track:1a84mHUjTTWzKrSdhtbAhJ,
"KHAID, Gyaki",Run Away (OMALICHA),Yes,spotify:track:1xet6MZrk4Zr5ebis0EF1Q,
"Theresa Phondo Sal Ly, Noel Mio",Blessings,Yes,spotify:track:2h4Tp7ZD1O08eLEo9CBHSa,
Moyann,Pink & Pretty,Yes,spotify:track:0yRHwLN1I5nSAXOyvlhGCx,
"Jaydon, 310babii",Ah! Ah !,Yes,spotify:track:3XPow6SrCEUvBjCmonImYw,
"Justin Bieber, Boyz II Men",Fa La La,Yes,spotify:track:5Ea0FNlMDWkraQDlfOPrDv,
"P-Lo, Larry June, G-Eazy, Kamaiyah, Saweetie, LaRussell, Thủy",Players Holiday '25,Yes,,
BigXthatPlug,BigXMas,Yes,spotify:track:5W8a43gnXVrPHdsFjdyfGB,
Fredo Bang,Stroke It (Stand Up In It),Yes,spotify:track:56thw3rzQXYGTfAsGdYl1u,
SahBabii,All The Way,Yes,spotify:track:5kKMiBXBzvK75J8nyETELV,
Raheem The Dream F. Terius “The Dream” Nash,I Wanna Fuck You,Yes,,
Joni F. 24K,Alone,Yes,,
Spice Girls,Too Much,Yes,spotify:track:1RQnYh2xw2BPpnzQFbO5r5,
Ella Mai,Little Things,Yes,spotify:track:2HA4tNLIXY1dGvDVCLeslk,
Kendrick Lamar F. SZA,Luther,Yes,,
Koryn Hawthorne,Look At God,Yes,spotify:track:396hOjvgaPh7XUfQDPsWTI,
Christopher Owens,Distant Drummer,Yes,spotify:track:25W0V4mI4LCpCBND3mPiAw,
Mk.gee,Alesis,Yes,spotify:track:4u7vj352S98d9iA7ac1EVG,
Nikesha Lindo,Joy To The World,Yes,spotify:track:0brT9rLYXh8mRoaI0Gpuvz,
Kay Tendaness,Christmas Wish,Yes,spotify:track:4wclqzLVdcdVFuAjzEF72W,
Tasha Cobbs Leonard,Put A Praise On It (Intro),Yes,spotify:track:5YN2NfjAm4Oucp23qG9HmG,
JMSN,Love Me,Yes,spotify:track:2hY9mOKGblxfNFl2GOQKj4,
Chandler Moore,Omemma,Yes,,
"Elijah Blake, Cheryl “Salt” James",How U Gonna,Yes,spotify:track:2L4At5jlqwCr0bQJMFGzzb,
"Big One, Emanero, Valentino Merlo",Si Un Día Estás Sola | CROSSOVER #7,Yes,spotify:track:5AkLEnorFvb7WIJOGqKYVT,
DND | Do Not Disturb,Piña Coladas,Yes,spotify:track:6QuUvbuFlWKrHlC69CvVFC,
The Coup,Tight,Yes,spotify:track:5INdxh1iqcWsqFMYFudokU,
The Click,Hurricane,Yes,spotify:track:5qiDen4GXbcZixkS114QXw,
"E-40, Suga T",Sprinkle Me (LP Version),Yes,,
Mac Dre,Not My Job,Yes,spotify:track:5UTBvvM7BXCL3apWspuUbK,
Gucci Mane,Big Cat / LaFlare,Yes,spotify:track:41LZk5igGR1BGjKGvDOFQV,
Mac Mall,Wide Open,Yes,spotify:track:13A4PSoTGMAepshE8OQpbz,
"E-40, Lil' Mo",Thick & Thin (Main),Yes,,
"Stunna June, Hyph",FWM,Yes,spotify:track:5toLJh65cLUVKAX4vb3UvL,
"John Hart, IAmSu, Suicideyear",Who Booty,Yes,,
"HBK Gang, Iamsu!, Jay Ant, Kehlani, Kool John, P-Lo, Skipper",Never Goin' Broke,Yes,,
Erk Tha Jerk,Hands Up,Yes,spotify:track:1pUQg0jqwWtIkDYah8ZzPz,
Mac Dre,Feelin Myself,Yes,spotify:track:79ZIHOJF6jaI7jdfaKu0kI,
Trunk Boiz,Cupcake No Fillin,Yes,spotify:track:6uCzlGggHCpksEh4zvr2m5,
Mike Sherm,Hot N****,Yes,,
"Zion I, Too $Hort",Don’t Lose Your Head Remix,Yes,spotify:track:4VNrNwa2McmjXMkENvhd3m,
Andre Nickatina,Ayo for Yayo,Yes,spotify:track:3k8zx0tFrsWAvVHXeCBX2r,
Jeremih,Birthday Sex,Yes,spotify:track:16XNk3bVCSHXN1rlwbXtHb,
Joy Postell,Baltimoreluvsong,Yes,spotify:track:5PBe00Th4xLkyyyfoWXWhd,
Fcukers,Bon Bon,Yes,spotify:track:4Dr5pBJktWX8aZckCznE6q,
EthanUno,on 10,Yes,spotify:track:3qal8MzhhAdLVGjlAzzqfF,
Andrés Calamaro,Flaca,Yes,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,
Astrid Sonne,Give My All,Yes,spotify:track:1PDOit0Bd8geByHYAGvYaQ,
Wicca Phase Spring Eternal,Venti Iced Americano,Yes,spotify:track:5yaeD1bbmx6CeQbUSONySe,
Waxahatchee,Much Ado About Nothing,Yes,spotify:track:0nuneId81O8XGxUjSCL316,
Addison Rae,Diet Pepsi,Yes,spotify:track:6MzofobZt2dm0Kf1hTThFz,
"Naza, Niska",Joli Bébé,Yes,spotify:track:6ARJHbYGKNatxHVghTkWWp,
"Sugarhill Ddot, STAR BANDZ",My Baby,Yes,spotify:track:3cgmoVRxUBAtT72UkxnVyW,
"Bea Pelea, Pipo Beatz",Si No Te Vuelvo A Ver,Yes,spotify:track:0OwZ3lqdQfnEZ074m2VXm0,
"Voice Mail, Ding Dong",Wacky Dip,Yes,spotify:track:7JNp5FNdg9mChaeGbiK11k,
DEJA MCK,THIGHTS OPEN,Yes,spotify:track:1er90C81I76JKpmCGiUIeD,
"Brandz, Zion Foster","addicted, Pt. 2",Yes,spotify:track:2tCGA7eGKeXXAKS1DCxx9k,
"DJ Tunez, J. Anthoni",Bomb,Yes,spotify:track:6J2EBGI2Hl8XzU8OduqksN,
"Alejandro Armes, SOYNEEL, DJ Nelson",RD,Yes,spotify:track:5MVCWWnNKaWnVMaCvj6TKU,
Justin Vibes F. Diamonds Of Gwijo & Azul Serene,Uzozisola,Yes,spotify:track:6oDRX9Y1JkO6cNuJqOkJp3,
Letón Pe,Cuándo Se Va’ Ir El Calor?,Yes,spotify:track:5Bpl9FQisl5HNmazpby0pl,
Ndotz,Embrace It,Yes,spotify:track:0io16MKpbeDIdYzmGpQaES,
Amira Jazeera,Solitude,Yes,spotify:track:1AkTVtyzu0OSrrKLQCKodv,
Muni Long,The Baddest,Yes,spotify:track:0ENXtaJRb7ixLcmFjM3gbu,
Karencici,Hard to say,Yes,,
Zachz Winner,Doodle (Slowed),Yes,spotify:track:79iZzBSEsS1bjm5eoOtvyx,
John P. Kee,Blessings,Yes,,
Donny Hathaway,Someday We'll All Be Free,Yes,spotify:track:0iJP3XxZNE8tP7YnB23J1r,
"Maze, Frankie Beverly",Golden Time Of Day,Yes,spotify:track:5tp1nCJkzsk5hJJt0su2Hi,
Mr_hotspot,Goodness Gracious,Yes,spotify:track:4HXgQzE6YOo6q5DsaFfTPl,
C-Nova,Yodelin,Yes,spotify:track:1utxadRJCiu924vQaKUBiq,
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",Yes,spotify:track:4T0ScSPdQKmGvruK7pavNP,
Ruger,Asiwaju,Yes,spotify:track:6z5y2kdxF4XrEVRFVqdGVL,
Brenda,Oxamu,Yes,,
"Enyel C, MJ Nebreda",Unknown Track,Yes,,
Nesta,OUTSIDE,Yes,spotify:track:3Ibz41D18EEpiYv07FYea6,
"Pitbull, Lil' Jon",Culo (Miami Mix),Yes,spotify:track:2mOrxVrZi9PAs1arR9ifnt,
