Artist,Title,Found on Spotify?,Spotify URI,Corrections
"Beele, Ozuna",Frente Al Mar (Ozuna Remix),Unknown,,
"W Sound, Beele, Ovy On The Drums",La Plena (W Sound 05),Unknown,,
"El Malilla, Joss ML, Omarcito Glock, Zalo La Z, Enayy",XQTCE?,Unknown,,
Suthun Boy,I Ain’t Him,Unknown,,
Rema,Baby (Is it a Crime),Unknown,,
Aya Nakamura,Chimiyé,Unknown,,
"Jonn Hart, EricStatz, The Outfit",Like My Bass,Unknown,,
"8RO8, Franskiiz, lelz",Counting On You (Sped Up),Unknown,,
Woza Logan,Love,Unknown,,
Fransheska,Menealo,Unknown,,
Kings Of Tomorrow,Finally,Unknown,,
Lady Gaga,Zombieboy,Unknown,,
Dei V,Sirena,Unknown,,
Jennifer Paige,Crush,Unknown,,
"DJ Laz, Casely, Flo Rida",Move Shake Drop (Remix),Unknown,,
Proyecto Uno,Esta Pega'o,Unknown,,
Ynfynyt Scroll,So Danca,Unknown,,
SoFTT,"Linda, Trieste, Una Popstar",Unknown,,
Ashya,Go Back,Unknown,,
Angie Stone,No More Rain (In This Cloud),Unknown,,
"La T y La M, Malandro",Amor de Vago,Unknown,,
Lionel Richie,Love Will Find A Way,Unknown,,
Michael Ray,Whiskey And Rain,Unknown,,
Zach Top,I Never Lie,Unknown,,
Young & Rollins,Spanish Nights,Unknown,,
Bad Bunny,DTMF,Unknown,,
Bad Bunny,Nuevayol,Unknown,,
Chuwi F. Mobu,Mundi (120),Unknown,,
"Alleh, Yorghaki",capaz (merengueton),Unknown,,
"Pedro Sampaio, Mc Gw, MC Debby, Mc Taliba",SEQUENCiA STRIPTEASE,Unknown,,
"Yailin La Mas Viral, Puyalo Pantera",Bing Bong,Unknown,,
Tayhana,Eterna Migración,Unknown,,
T-Ansyto,2 Gouden,Unknown,,
The Teenagers,Homecoming,Unknown,,
Dondria,You're The One (Instrumental),Unknown,,
"Kevin Momo, Sino Msolo, Stixx, Mashudu",Waze Wamuhle F. Mashudu,Unknown,,
Solo B,All In (Sped Up Version),Unknown,,
"Dj Nelson, Daddy Yankee",Tú No Tienes Miedo,Unknown,,
Bubba Sparxxx,Wonderful,Unknown,,
Capolow,Drop That Bag,Unknown,,
Joé Dwét Filét,4 Kampé,Unknown,,
Ir-Sais,Dream Girl,Unknown,,
BABYWINE,12:12,Unknown,,
Dem Franchize Bwoyz: White Tee,Dj Weeding Reggae Remix,Unknown,,
G3 GELO,Tweaker,Unknown,,
"KHAID, Gyaki",Run Away (OMALICHA),Unknown,,
"Theresa Phondo Sal Ly, Noel Mio",Blessings,Unknown,,
Moyann,Pink & Pretty,Unknown,,
"Jaydon, 310babii",Ah! Ah !,Unknown,,
"Justin Bieber, Boyz II Men",Fa La La,Unknown,,
"P-Lo, Larry June, G-Eazy, Kamaiyah, Saweetie, LaRussell, Thủy",Players Holiday '25,Unknown,,
BigXthatPlug,BigXMas,Unknown,,
Fredo Bang,Stroke It (Stand Up In It),Unknown,,
SahBabii,All The Way,Unknown,,
Raheem The Dream F. Terius “The Dream” Nash,I Wanna Fuck You,Unknown,,
Joni F. 24K,Alone,Unknown,,
Spice Girls,Too Much,Unknown,,
Ella Mai,Little Things,Unknown,,
Kendrick Lamar F. SZA,Luther,Unknown,,
Koryn Hawthorne,Look At God,Unknown,,
Christopher Owens,Distant Drummer,Unknown,,
Mk.gee,Alesis,Unknown,,
Nikesha Lindo,Joy To The World,Unknown,,
Kay Tendaness,Christmas Wish,Unknown,,
Tasha Cobbs Leonard,Put A Praise On It (Intro),Unknown,,
JMSN,Love Me,Unknown,,
Chandler Moore,Omemma,Unknown,,
"Elijah Blake, Cheryl “Salt” James",How U Gonna,Unknown,,
"Big One, Emanero, Valentino Merlo",Si Un Día Estás Sola | CROSSOVER #7,Unknown,,
DND | Do Not Disturb,Piña Coladas,Unknown,,
The Coup,Tight,Unknown,,
The Click,Hurricane,Unknown,,
"E-40, Suga T",Sprinkle Me (LP Version),Unknown,,
Mac Dre,Not My Job,Unknown,,
Gucci Mane,Big Cat / LaFlare,Unknown,,
Mac Mall,Wide Open,Unknown,,
"E-40, Lil' Mo",Thick & Thin (Main),Unknown,,
"Stunna June, Hyph",FWM,Unknown,,
"John Hart, IAmSu, Suicideyear",Who Booty,Unknown,,
"HBK Gang, Iamsu!, Jay Ant, Kehlani, Kool John, P-Lo, Skipper",Never Goin' Broke,Unknown,,
Erk Tha Jerk,Hands Up,Unknown,,
Mac Dre,Feelin Myself,Unknown,,
Trunk Boiz,Cupcake No Fillin,Unknown,,
Mike Sherm,Hot N****,Unknown,,
"Zion I, Too $Hort",Don’t Lose Your Head Remix,Unknown,,
Andre Nickatina,Ayo for Yayo,Unknown,,
Jeremih,Birthday Sex,Unknown,,
Joy Postell,Baltimoreluvsong,Unknown,,
Fcukers,Bon Bon,Unknown,,
EthanUno,on 10,Unknown,,
Andrés Calamaro,Flaca,Unknown,,
Astrid Sonne,Give My All,Unknown,,
Wicca Phase Spring Eternal,Venti Iced Americano,Unknown,,
Waxahatchee,Much Ado About Nothing,Unknown,,
Addison Rae,Diet Pepsi,Unknown,,
"Naza, Niska",Joli Bébé,Unknown,,
"Sugarhill Ddot, STAR BANDZ",My Baby,Unknown,,
"Bea Pelea, Pipo Beatz",Si No Te Vuelvo A Ver,Unknown,,
"Voice Mail, Ding Dong",Wacky Dip,Unknown,,
DEJA MCK,THIGHTS OPEN,Unknown,,
"Brandz, Zion Foster","addicted, Pt. 2",Unknown,,
"DJ Tunez, J. Anthoni",Bomb,Unknown,,
"Alejandro Armes, SOYNEEL, DJ Nelson",RD,Unknown,,
