NTS Weekly Report: 2025-04-13 to 2025-04-20
Total Episodes: 106

EPISODES
Show,Episode Title,Broadcast Date,Location,Track Count
,"Midnight Marauders w/ Marshmello, Daniel Brandt & Clafrica",2025-04-20T21:00:00+00:00,London,0
,The One Glove Breakfast Show w/ Macca,2025-04-19T09:00:00+00:00,London,17
,Effie,2025-04-18T19:00:00+00:00,Seoul,19
,NTS Guide to: Texas Prison Rodeo Bands,2025-04-18T15:00:00+00:00,Texas,17
,NTS Guide to: Sacred Songs of Easter,2025-04-18T11:00:00+00:00,London,14
,In Focus: Windy & Carl,2025-04-18T10:00:00+00:00,Dearborn,13
,The NTS Breakfast Show w/ Louise Chen,2025-04-18T08:00:00+00:00,,32
,NTS x adidas Originals: London,2025-04-17T23:00:00+00:00,London,19
,Kasra V,2025-04-17T22:00:00+00:00,London,13
,Nosedrip,2025-04-17T20:00:00+00:00,Ostend,21
,Nile To Bank w/ Nihal B2B Manuka Honey,2025-04-17T19:00:00+00:00,London,28
,Cultivation of Mind w/ BamBoy: AMBEDKAR JAYANTI SPECIAL,2025-04-17T18:00:00+00:00,Mumbai,21
,Sasha Crush,2025-04-17T18:00:00+00:00,New York,10
,Crypt of the Wizard,2025-04-17T17:00:00+00:00,London,12
,United In Flames w/ Lena South & Malibu,2025-04-17T16:00:00+00:00,,23
,The Outsiders w/ Rich Tupica: Southern Soul,2025-04-17T16:00:00+00:00,Los Angeles,21
,Eclair Fifi,2025-04-17T14:00:00+00:00,London,0
,La Vida es un Mus,2025-04-17T14:00:00+00:00,London,19
,Antinote w/ Phunk Sub,2025-04-17T13:00:00+00:00,Paris,13
,Donna Leake,2025-04-17T12:00:00+00:00,London,0
,Pacing The Platform w/ upsammy,2025-04-17T12:00:00+00:00,Amsterdam,20
,SHAPE+: Sissi Rada,2025-04-17T11:00:00+00:00,Athens,13
,Jim O'Rourke,2025-04-17T10:00:00+00:00,Tokyo,16
,Soup To Nuts w/ babyschön,2025-04-17T10:00:00+00:00,London,24
,The Power of the Stream’s Harmony w/ Krzyś Winter and Vova Antoniv,2025-04-17T09:00:00+00:00,London,1
,The NTS Breakfast Show w/ Louise Chen,2025-04-17T08:00:00+00:00,,29
,The Early Bird Show w/ PAM,2025-04-17T06:00:00+00:00,Paris,22
,WHODIS? w/ AIFF Foo Bday - Live at Goldline,2025-04-17T00:00:00+00:00,Los Angeles,0
,From Sun City w/ 96 Morommy ,2025-04-17T00:00:00+00:00,Okinawa,12
,Castles In The Sky w/ Hesska,2025-04-16T23:00:00+00:00,Manchester,19
,Sunday School,2025-04-16T22:00:00+00:00,London,17
,Intearnet Radio w/ Lyzza,2025-04-16T22:00:00+00:00,Amsterdam,0
,Times Together ’97 w/ Shining Life Press,2025-04-16T21:00:00+00:00,Washington DC,28
,The NCA Show w/ Brassfoot,2025-04-16T21:00:00+00:00,London,12
,Wigs w/ Imogen,2025-04-16T20:00:00+00:00,London,0
,Quickly Quickly,2025-04-16T20:00:00+00:00,"Portland, OR",17
,The Windmills of Your Mind w/ Taylor Rowley,2025-04-16T19:00:00+00:00,Los Angeles,20
,System Olympia,2025-04-16T19:00:00+00:00,London,16
,Aloha Got Soul Presents: Home Grown,2025-04-16T18:00:00+00:00,Hawaii,13
,Steven Julien Presents: The Apron Show w/ Jeyon,2025-04-16T18:00:00+00:00,London,0
,Motive,2025-04-16T17:00:00+00:00,London,24
,Subject To Change w/ Timmhotep - MINI,2025-04-16T17:00:00+00:00,New York,17
,Martyn's Darkest Light: Andrew Hill Special ,2025-04-16T16:00:00+00:00,Washington DC,10
,Tash LC w/ Richard Akingbehin,2025-04-16T16:00:00+00:00,London,15
,The Tape Journey w/ Retro Cassetta & Giulia Giu,2025-04-16T15:00:00+00:00,Casablanca,10
,Lamin Fofana,2025-04-16T14:00:00+00:00,New York,9
,Moxie w/ Ploy,2025-04-16T14:00:00+00:00,London,25
,Keel Her w/ Mark Titchner,2025-04-16T13:00:00+00:00,London,11
,Shakshouka w/ Cheb Mimo,2025-04-16T12:00:00+00:00,London,13
,Bradley Zero Presents: Rhythm Section,2025-04-16T12:00:00+00:00,London,23
,Habibtea w/ Cheba Nao,2025-04-16T11:00:00+00:00,Barcelona ,22
,Explorations w/ Digging In India (60s-80s Indian Rock Special),2025-04-16T10:00:00+00:00,New Delhi,15
,Soup To Nuts w/ Shy One,2025-04-16T10:00:00+00:00,London,0
,The NTS Breakfast Show w/ Flo & Matthew Ingram,2025-04-16T08:00:00+00:00,London,27
,The Early Bird Show w/ Spirit Blue,2025-04-16T06:00:00+00:00,London,33
,The Last Playlist w/ Luis Felipe Farfán: MARIA FELIX SPECIAL ,2025-04-16T02:00:00+00:00,Los Angeles,19
,Blue Trio Radio w/ Full Body 2,2025-04-15T23:00:00+00:00,PHILADELPHIA,16
,Fusion Batches w/ DJ Morse Code - Roy Ayers Tribute,2025-04-15T22:00:00+00:00,Los Angeles,20
,5 GATE TEMPLE FT. G VERSION III,2025-04-15T21:00:00+00:00,London,34
,Los Hitters,2025-04-15T21:00:00+00:00,Oakland,20
,Hell Of A Club - Breath Control Special w/ Vendredear,2025-04-15T20:00:00+00:00,Paris,30
,I'm Feeling Lucky w/ umru b2b Hannah Diamond,2025-04-15T19:00:00+00:00,New York,28
,Minimal Wave w/ Veronica Vasicka,2025-04-15T19:00:00+00:00,New York,27
,Slap City w/ Architect,2025-04-15T18:00:00+00:00,London,33
,The Lunacy of Flowers w/ Dave ID,2025-04-15T18:00:00+00:00,Tallinn,13
,Syrian Revolutionary Songs and Protest Recordings w/ Yamen Mekdad,2025-04-15T17:00:00+00:00,London,12
,Optimo,2025-04-15T16:00:00+00:00,Glasgow,34
,SNO w/ DISCO DEMI,2025-04-15T16:00:00+00:00,Manchester,18
,Dance Music Show w/ G³,2025-04-15T15:00:00+00:00,Berlin,0
,oklou: choke soundscape,2025-04-15T15:00:00+00:00,Paris,28
,Self Soothe w/ Margeaux,2025-04-15T14:00:00+00:00,New York,14
,Tears in the Club w/ Jeune Pouce: NEON GHOST,2025-04-15T13:00:00+00:00,Paris,30
,Mark Leckey w/ C.A.V.E,2025-04-15T12:00:00+00:00,New York,17
,Prosumer w/ Denny Voltage,2025-04-15T12:00:00+00:00,Edinburgh,25
,Phambinho: em có thấy bóng bay trôi đi ko…,2025-04-15T11:00:00+00:00,Hanoi,17
,Soup To Nuts w/ Anu,2025-04-15T10:00:00+00:00,London,0
,EIKO ISHIBASHI,2025-04-15T10:00:00+00:00,Tokyo,11
,The NTS Breakfast Show w/ Flo,2025-04-15T08:00:00+00:00,London,0
,The Early Bird Show w/ GEM&I,2025-04-15T06:00:00+00:00,London,47
,Delivery Presents: HAAN,2025-04-15T02:00:00+00:00,Los Angeles,13
,Total Stasis,2025-04-15T01:00:00+00:00,Los Angeles,12
,Fractal Meat On A Spongy Bone,2025-04-15T00:00:00+00:00,London,22
,Body Motion w/ Seep,2025-04-14T23:00:00+00:00,London,15
,Hit Factory,2025-04-14T23:00:00+00:00,New York,9
,Furniture without Memories w/ Daksh,2025-04-14T22:00:00+00:00,Edinburgh,29
,Astral Garden w/ Nailah Hunter,2025-04-14T22:00:00+00:00,Los Angeles,10
,DJ Richard,2025-04-14T21:00:00+00:00,Providence Rhode Island,0
,Kristin Kontrol Presents: Out of Vogue,2025-04-14T21:00:00+00:00,Los Angeles,14
,Elena Colombi w/ Combe + Dominika Mazurova,2025-04-14T20:00:00+00:00,London,15
,Get Grimy w/ Dakota Dean,2025-04-14T19:00:00+00:00,Los Angeles,22
,From The Depths w/ Drakeford,2025-04-14T17:00:00+00:00,London,29
,Native Soundsystem w/ Sholz,2025-04-14T17:00:00+00:00,London,46
,Hit A Lick Radio w/ BODEGA AUTUMN,2025-04-14T16:00:00+00:00,PHILADELPHIA,31
,Naomi Asa,2025-04-14T16:00:00+00:00,London,12
,Time Is Away: The Battle of the Starlings,2025-04-14T15:00:00+00:00,London,13
,NTS Guide to: Music From The Dungeon,2025-04-14T15:00:00+00:00,London,15
,Mala Junta w/ Mac Declos,2025-04-14T14:00:00+00:00,Berlin,17
,God's Waiting Room w/ David Holmes,2025-04-14T13:00:00+00:00,Belfast,24
,Gabi,2025-04-14T12:00:00+00:00,London,14
,SKYAPNEA w/ Jay Glass Dubs,2025-04-14T11:00:00+00:00,Rome,29
,Soup To Nuts w/ PAM,2025-04-14T10:00:00+00:00,London,20
,THE WONDER CABINET w/ Sounds of Masks,2025-04-14T10:00:00+00:00,Bethlehem,0
,The NTS Breakfast Show w/ Flo,2025-04-14T08:00:00+00:00,London,28
,The Early Bird Show w/ BRADEN WELLS & Rita P,2025-04-14T06:00:00+00:00,London,33
"MIDNIGHT MARAUDERS W/ MARSHMELLO, DANIEL BRANDT &amp; CLAFRICA","MIDNIGHT MARAUDERS W/ MARSHMELLO, DANIEL BRANDT &amp; CLAFRICA",2025-04-20T22:00:00+01:00,London,0
A MONTH OF SUNDAYS W/ BILL SPENCER (R),A MONTH OF SUNDAYS W/ BILL SPENCER (R),2025-04-20T22:00:00+01:00,Detroit,0

TOP TRACKS
Rank,Track,Play Count
1,Smerz - You got time and I got money,3
2,Feng - XY,2
3,Windy & Carl - Untitled #4 (Unreleased Song Late 1992),2
4,Malibu - Unknown Track,2
5,"Pavel Milyakov, Lucas Dupuy - Room",2
6,Upsammy - Unreleased,2
7,Oqbqbo And Scandinavian Star - Text Me When You Wake Up,2
8,Amit Shoshan - Fantasy (DJ Naz Mind Warp Dub),2
9,Klone - Give Up The Rest,2
10,Roy Ayers - Can't You See Me,2
11,Virginia Astley - A Summer Long Since Passed,2
