Artist,Title,Found on Spotify?,Spotify URI,Corrections
Nivhek,After Its Own Death: Side B,Yes,spotify:track:4HvMB0OYldA6Zd0nmLgx5p,
Hpsb,自恋 W/ Jackzebra(Prod. Liamtakeover),Yes,,
南部犯罪份子,罪恶的胚胎（Prod.Cheng）,Yes,,
Vq,I Wanna Live In Large House （ +Aeoxve ),Yes,,
Sunsǝt,CHARITY,Yes,,
Ali Rq,Bad At Love (Rq Rmx),Yes,,
Bsun,Then The Snow Started Falling,Yes,,
Dstrctive,JUSTIN BIEBER,Yes,,
Avi8,Homestead,Yes,spotify:track:4hMG5tGjzCGgobKLhDQZCx,
Nosavingus,R3uP,Yes,,
Cuando Lo Pienses,Deiviz Balda (2k15),Yes,,
Lilic,Miriamdola & Lilic,Yes,,
Ivvys,Lucy Bedroque ‎‎‎ ‎‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎‎‎ ‎‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ Pinterest,Yes,,
^^^^^^^^^^^^_^^^^^^^^^^^^,Back Pain,Yes,,
"DJ Marcāo 019, DJ MP7 013, Meno Saaint",Automotivo Papa Xota,Yes,spotify:track:3XQNCLY8bDTyjTJtwXNhyC,
"Dj VN Maestro, Mc Pl Alves, MC Digu",Calma Não Precisa Brigar X Boquetinho Maneiro,Yes,spotify:track:7pgO8lJ4nrYQ1B3eOt5xUK,
"TROPA DA 021, RITMO CARIOCA",É VUCO VUCO VAPO VAPO X ERRO NA CONEXÃO,Yes,spotify:track:7InzuoL3FeTY3Wdpjer2Va,
Just For Fun,First Time,Yes,,
Black Kray,Let Da Block Cry,Yes,spotify:track:6uKDUnz9pNI5UjuHN0Nem0,
Babyfather,COCO Radio Edit,Yes,,
From Unda,*NEW* VAMP MONEY A K A SPACEGHOSTPURPP,Yes,,
尊龍,從寂寞世界走來,Yes,spotify:track:4XSUYgeUMfAkypA5IpGMN6,
~`Aууєє_Cαѕєуу,"T.E.K.-""Message In A Bottle"" Xx (Lyrics)",Yes,,
"Tek Lintowe, Jackzebra",With There,Yes,,
Pink Must,Disappointed,Yes,spotify:track:4JCdLeZawwVjdxBoNbwcSY,
Toxe,Pillow Fight,Yes,spotify:track:3SPwkB8X39XRB4PJX3AXvg,
A Good Year Feat. Quiet Light,Dealerz [Unreleased],Yes,,
Snuggle,Dust,Yes,spotify:track:6xq2ewiAEbFJt0PT8uharC,
Lilic,Melodrama323,Yes,spotify:track:50JMCap1uqSbl3Fm9T0sMu,
Ssaliva,1 way glass,Yes,spotify:track:6vNg3Ui5l2BYsXOSgpJPgn,
Tiffi M,Sardines [Unreleased],Yes,,
Fine,Adore You,Yes,spotify:track:1F1ho924gq1RG1fs7ShB56,
Sunchaser,Territorio,Yes,spotify:track:1sXu91aTuBpvj2Ko8foLKX,
"DJ Central, Erika Casier",Drive (First Mix),Yes,,
ishi vu,This is your Life,Yes,spotify:track:3Bq8lk2qUwEt7RK5B0nvta,
Smerz,A Thousand Lies,Yes,spotify:track:3g0lxrU7wv7j64QLAt2Krc,
"PS22 Chorus, Björk",Jóga,Yes,spotify:track:1iTqAwKFKNRTcZX9Mtl1PZ,
Jon Brion,Phone Call,Yes,,
DJ HAYDN,Twin,Yes,spotify:track:0m580tciS6hZ6ujo0prjXv,
Horse Vision,Chemicals,Yes,spotify:track:75H2T9O2y4b5JlORHVZlBe,
Sindy,Aerophobia,Yes,spotify:track:1AdPYluX0JwdBeXV9200CU,
+ Organ Tapes,Last 5 Mins:,Yes,,
A Showman's Life,George Strait,Yes,,
"nykolaes, Daniël Paul",Astma,Yes,spotify:track:45l3qcS5QF5JYM8DiTFQZG,
Loukeman,Nice To Hear Your Voice Again,Yes,,
Avril23,Capture Décran,Yes,,
Organ Tapes,Waiting,Yes,,
DJ Lostboi,Love Spirals Downwards,Yes,,
Jim Legxacy,Mileys Riddim,Yes,spotify:track:22tPhE4Osvl0LGnKrjNCIR,
Nu Fusion,U SMile,Yes,,
Kkinshamerr,Girl Boy,Yes,,
"The Mob, DJ Gregor Wagner",Falling (Murder Mix),Yes,spotify:track:6nacPigOVgYlC3dKW2xfE7,
AMEN THE PRODUCER X HONCHO BRANDO,WOLVERINE (Feat. Jon P),Yes,,
Sade,Kiss Of Life (Remix),Yes,spotify:track:65krtHkaYLPr0mEbjL61UP,
ESP,Break Free,Yes,spotify:track:7KIRJCAKHhzT4HC3uYXVui,
Quiet Light,Bronco,Yes,spotify:track:2NbNeXeXYmFhssxFarPpYb,
Yabstar..,?,Yes,,
Lana Del Rey,Afraid ,Yes,,
Rainfield,Keeping (Alternate Demo),Yes,spotify:track:3OBA4WQaaCzHcjGyi9V5cR,
Fakemink,Easter Pink (Prod Suzy Sheer),Yes,,
DJ Corpmane,KJ Problem (M83 X DJ BBoy),Yes,,
Galen Tipton & Holly Waxwing,Potluck (Feat. Ari Liloia),Yes,,
Bobby Beethoven,Dust Pile,Yes,,
LC,Mr Yhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,Yes,,
Jetty,I Could Die Right Now,Yes,,
Caroline Polachek,Breathless,Yes,spotify:track:179YXh5spiRaUDJihittPG,
DJ Lucas,Cry,Yes,,
E + E,I Remember The Time Of My Life (2012),Yes,,
COLA FREAK RECORDS,NEW SURROUNDINGS,Yes,,
STUDIO94 RECORDS,I Knew Back Then,Yes,,
Burial,Hiders,Yes,spotify:track:6p1WR4FijJ0k3MV4TLo6aK,
AF85,Undefeated,Yes,,
Carlos Do Complexo,Fractal,Yes,spotify:track:2fnv7b4ij3tKZrCYJDVLHK,
GG12,Dont Fall For Us,Yes,,
Jawnino + Deer Park,Unreleased,Yes,,
Ivy Knight + Deer Park,Steel (Unreleased),Yes,,
"Jackzebra, Miriamdola, Deer Park, Lilic",Unreleased,Yes,,
Tirzah,Tectonic,Yes,spotify:track:7iNc91m5yZBaHDM8rEB0dY,
Maresz,Memoria,Yes,spotify:track:2RJnRWZR38axjWW9tA9yCd,
Strawberry Switchblade,Go Away,Yes,spotify:track:19wyEOwk4PTvfhBxSoZ34a,
Bootee,Again,Yes,spotify:track:1q2Uh1wDXrlAB97fahzF6Q,
Harto Falion,Y?!,Yes,,
The Cleaners From Venus,The Jangling Man,Yes,spotify:track:5DeVDeCl7rTPnyHuXiSCV5,
Jackzebra + Deer Park,Interlude (Unreleased),Yes,,
Jawnino,Unreleased (Prod. Deer Park),Yes,,
Lerado Khalil + Osyris Israel,Blue Lady,Yes,,
James Ferraro,T.O.N.Y.,Yes,,
Deer Park,Regime (Unreleased),Yes,,
Chanel Beads,Embarrassed Dog,Yes,spotify:track:1sCEqLcMWI82vIMct3kL9Z,
Hav Lyfe,She Started Off Bashful,Yes,,
Gud,My Heart Is Deceitful Above All Things,Yes,,
Croatian Amor,LA Hills Burn At The Peak Of Winter,Yes,spotify:track:3FlYQ4cpdpT1JObsSy0zy3,
Henry Earnest,Marie,Yes,spotify:track:4aZsMVU1dvYOoSTAqPzaAM,
Red House Painters,All Mixed Up,Yes,spotify:track:2fJoUMGvrRufwhW4KmbCaT,
Sahabii,Everyday,Yes,spotify:track:6I4cily2BxxA09I4Ul3sT0,
Kajj,Me Happy,Yes,spotify:track:71UZBSxjIv3WLHq54vTE5H,
DJ Xtreme,Tere Ore (Singh Is King) Vs Because Of You,Yes,,
"Uli K, Rules",Mi Corazon,Yes,spotify:track:2ll5mKpmQzjBRElEu3FV30,
BambinoDJ,Soft Weather (Aya & Vybz),Yes,,
Movay,Black Boy Ft. Lu City,Yes,,
Jetty,Wild On Ice,Yes,spotify:track:2wxHwrciLpYCr9fIvnzrxm,
Souley,BBBurn (Gustavio Topman + Ouxma),Yes,,
Ruger,Party Monster Ft. Bnxn,Yes,spotify:track:6XQ3ver8HQA5voTiXDk0xG,
Tekno,Gon Gon,Yes,spotify:track:64t5AXI4zUzkiAcDImxNx9,
Uncs,Tell Me Why (Rahhhh Edit),Yes,,
Shonci,Chegou 3 FT. MC Magrinho,Yes,,
Regularfantasy,So Sweet (Spriiitzz Remix),Yes,,
"David Morales, Tamra Keenan, Kaskade",Here I Am (Kaskade Remix),Yes,spotify:track:4I9TgYWypLdackFhnfNu2T,
Porches,Madonna,Yes,spotify:track:46KwKKlKlYtBfET0LPGfI4,
Alias,I Heart Drum Machines,Yes,spotify:track:37Ki6B9CuVxHk5NPVgVMR3,
Fakemink,Blow Me,Yes,spotify:track:49lw1wkHHnvxhgfxexcNwQ,
Yuck,Sunday,Yes,spotify:track:28bostp9jdIiqsJChb53zO,
IAMSU,Nothin Less (Florentino Edit),Yes,,
Deerhunter,Nothing Ever Happened,Yes,spotify:track:0Q2vqScvfcZOmxoXlW4p0V,
The Pharcyde Vs. CTFPA,Passin’ My White Jetta By,Yes,,
Prefab Sprout,Acoustic Versions,Yes,,
Der Lustige Musikant,Keine Zeit,Yes,,
Fluid Tower,Carrot,Yes,spotify:track:2jfh3trdQm8kQuv6YHsKhh,
Cat Power,Cross Bones Style,Yes,spotify:track:5Qhy5MYSkAMRVgTrABOlp7,
Alice In Chains,We Die Young,Yes,spotify:track:5Ds35L9KpUDKgSxZ6whuoQ,
"AHEE TEEKAY, PLAYGIRL",Re Bina Kao Chaba,Yes,spotify:track:57gI4JMmYgof0KEzCNogL6,
"Summer Walker, JT From City Girls",Ex For A Reason (Clean),Yes,,
Sniffany & The Nits,Frog's Legs,Yes,spotify:track:4zeHNw6o7kY2MeOMW7I5dO,
Alice In Chains,Nutshell,Yes,spotify:track:2JuasWPUodaUxf5nwNpciQ,
Taejoli,Bris Cover,Yes,,
Lanny,Submission Demo,Yes,,
RMR,Rascal,Yes,spotify:track:3wDkZTvrR6uhTvQqcE9vdx,
Sophie B. Hawkins,Damn I Wish I Was Your Lover,Yes,spotify:track:7kmfQ2QHwGqRCxVHDv5mzo,
kwes e,juggin,Yes,spotify:track:7FA3Mq86bxNMfx3plUMoYT,
Dd Mark,Ga 4 Ga,Yes,,
Jim Legxacy,Candy Reign (!),Yes,,
King Monada,Odho Ngopola Ft Dj Janisto,Yes,spotify:track:6cOyfMvvGJgGHmNIzGuqjA,
RXKNephew,Free Palestine,Yes,spotify:track:5nwNCpvC6ndPQcANNP3G9B,
Nourished by time,Romance in Me,Yes,spotify:track:01uTQT9W6jj9ywnlmbzTmK,
"MARIA SPIVAK, PRINS EMANUEL",Kiriaki,Yes,spotify:track:3zjWTzApf7OdzskHcdIswX,
Third World,Baltimore,Yes,,
Ween,So Long Jerry,Yes,,
The Crying Nudes,greaser,Yes,spotify:track:3y7PxWQA0E6xRvHI7s9jlf,
thatcherblackwood,windwatcher,Yes,spotify:track:6rUcxkEDXfIPMIE9Im0tfi,
XYZ,wanted,Yes,spotify:track:36rDG1qrfJ7GLZ03KGxWrV,
Lovefear,‘Sunup’,Yes,spotify:track:6UGozssuqCvzgXRpHDv1sp,
Kodak Black,This Life,Yes,spotify:track:722etYXeNBNmfsR69z27al,
A$AP Ferg,Cocaine Castle,Yes,spotify:track:4q1ThGh6IpWSd9ixvGfuHi,
Unknown Artist,Love Me Back Remix,Yes,,
Sacred City Centre,Lil Baby Ipad Bootleg,Yes,,
Hoax,Down,Yes,,
OLSWEL,Trendy Drum Pattern [FREESTYLE],Yes,spotify:track:26DuOcMFHuLuKhLClSjrQA,
Unknown Artist,You I,Yes,,
Tony Bontana,Sittin’ On A Star Freestyle,Yes,spotify:track:2WYEFKBV2dPzZ9qRVbx1zU,
Ween,I’ll Wait (Mollusk Outtake_demo),Yes,,
Keha,Tik Tok Overkissed Edit,Yes,,
DJ Nate,3 Peat,Yes,spotify:track:5Js9GiDuxRZ77wWoGz1qR3,
Pay the stranger,Describe (An Ugly Scenario),Yes,spotify:track:3iBbx5OK2yE5gIGFe20zRn,
Darko,Shining Star,Yes,,
Admin,(2),Yes,,
Bsnyea (Crzy),Crip,Yes,,
Saran X Blackheart X Pondering,Promethazine,Yes,,
Dj Shshunj,Kairi,Yes,,
Carnival,Karmas Remix,Yes,,
Ween,I Don’t Want It,Yes,spotify:track:7GA2kb0VtYvwT3PYhMaYGX,
GB,New Planes,Yes,spotify:track:38I8NQPoo5spFv1VB4idfU,
My Bloody Valentine,Sometimes,Yes,spotify:track:5KBKqxYY263Tr0haAu3fMz,
Future,Plutoski,Yes,spotify:track:2t4H61OtTYgmDe61KxkjKH,
"Curren$y, Harry Fraud",Sixty-Seven Turbo Jet,Yes,spotify:track:0BtAjIb65mVh5Te45PUOdR,
